Feature,Coefficient,Odds Ratio
age,2.851201668665808,17.30856851315199
gender,0.1015108119540221,1.1068418854508173
education_years,0.023160585162259675,1.0234308741650031
income_level,0.11992024408435248,1.1274069306215
smoker,0.6492408500370164,1.9140871980961969
smoking_years,1.0022369513506049,2.724369298815609
cigarettes_per_day,0.9929234599393596,2.69911370020837
pack_years,3.890104277380545,48.915987088790885
passive_smoking,1.0702973515205965,2.916246521403112
air_pollution_index,2.271578510623472,9.694691916495442
occupational_exposure,1.321665129591789,3.7496598514632473
radon_exposure,0.8178079338407819,2.265528202741021
family_history_cancer,1.6800818971383342,5.365995412795844
copd,1.6944463897530502,5.443631480696698
asthma,-0.11062674615306602,0.8952728506083287
previous_tb,-0.09015545433177527,0.9137891217520141
chronic_cough,1.3756877808984413,3.95779788481679
chest_pain,-0.08105609010403847,0.9221419669551408
shortness_of_breath,0.001102211864697656,1.0011028195234306
fatigue,-0.09747157872009113,0.9071281229317252
bmi,-0.11273126244700007,0.893390715493378
oxygen_saturation,-0.7938929968314233,0.45208141357912124
fev1_x10,-2.032859025462622,0.13096056580822327
crp_level,2.5800067936035074,13.197227816086992
xray_abnormal,2.487895431298713,12.035919028454453
exercise_hours_per_week,-1.3211748663980596,0.26682163796856
diet_quality,-0.9099864152982216,0.40252969224232
alcohol_units_per_week,0.05847361231224052,1.0602170086500926
healthcare_access,-0.6919477574167682,0.5006000713693932
